0x807110,Name,Description,ID,Default Class Promoted From/To,Standing Map Anims,Move Speed,Generic Mug,N/A,HP,Atk,Skl,Spd,Def,Res,Con,Mov,HP Cap,Atk Cap,Skl Cap,Spd Cap,Def Cap,Res Cap,Con Cap,Lck,HP Growth,Atk Growth,Skl Growth,Spd Growth,Def Growth,Res Growth,Luck Growth,HP Promo Gain,Atk Promo Gain,Skl Promo Gain,Spd Promo Gain,Def Promo Gain,Res Promo Gain,CharClassAbility,Sword,Lance,Axe,Bow,Staff,Anima,Light,Dark,Battle Anims,Move Costs,Rain Move Costs,Snow Move Costs,Avo Bonus,Def Bonus,Res Bonus,Class Type
None,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,37,0,0,65,0,0,0x1000002,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,0x1f,0x0,0x231e143c,0x190f0f,0x0,0x0,0x0,0x0
Ephraim Lord,0x2bf,0x309,0x1,0x3,0x0,0x0,0x8b,0x1,18,6,6,7,6,0,8,5,60,20,20,20,20,20,20,4,90,45,40,45,15,15,40,0,0,0,0,0,0,UnlockEphraim|IsLord,NoRank,DRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,0x88aefd8,0x880b808,0x880bc59,0x880c069,GroundAvoid,GroundDefence,GroundResistance,0x0
Lord,0x2bf,0x30a,0x2,0x4,LordLanceStandID,0x0,0x8b,0x1,20,4,8,8,2,2,7,6,60,20,20,20,15,15,20,4,0,0,0,0,0,0,0,0,0,0,0,0,0,IsLord|UnlockEirika,NoRank,ERank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,LordAnims|IsPointer,0x880b808,0x880bc59,0x880c069,GroundAvoid,GroundDefence,GroundResistance,0x0
Ephraim Master Lord,0x2c0,0x30b,0x3,0x1,0x2,0x0,0x8b,0x2,18,3,3,4,5,0,10,7,60,27,26,24,23,23,25,6,90,45,40,45,15,15,40,4,2,3,2,2,5,IsPromoted|UnlockEphraim|IsLord|MountedAid|HasCanto|HorseIcon,NoRank,CRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,0x88aeff0,0x880bad3,0x880bf24,0x880c334,GroundAvoid,GroundDefence,GroundResistance,HorseType
Eirika Master Lord,0x2c0,0x30c,0x4,0x2,0x3,0x0,0x8b,0x2,18,3,3,4,5,0,7,7,60,24,29,30,22,25,25,6,90,45,40,45,15,20,40,4,2,2,1,3,5,IsPromoted|UnlockEirika|IsLord|MountedAid|HasCanto|HorseIcon|SwordmasterUnlock,CRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,0x88aeffc,0x880bad3,0x880bf24,0x880c334,GroundAvoid,GroundDefence,GroundResistance,HorseType
Cavalier,0x2c1,0x30d,0x5,0x7,0x4,0x0,0x80,0x20,23,6,7,6,5,0,10,8,60,20,20,20,15,15,20,4,75,40,50,45,35,15,40,0,0,0,0,0,0,MountedAid|HasCanto|HorseIcon,ERank,ERank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,0x88af008,0x880ba92,0x880bee3,0x880c2f3,GroundAvoid,GroundDefence,GroundResistance,HorseType
Cavalier (F),0x2c1,0x30d,0x6,0x8,0x4,0x0,0x80,0x20,24,7,6,6,4,0,10,8,60,20,20,20,15,15,20,4,75,45,40,40,35,20,30,0,0,0,0,0,0,MountedAid|HasCanto|HorseIcon,NoRank,DRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,0x88af018,0x880ba92,0x880bee3,0x880c2f3,GroundAvoid,GroundDefence,GroundResistance,HorseType
Paladin,0x2c2,0x30e,0x7,0x5,0x5,0x0,0x81,0x21,23,7,4,7,8,3,11,8,60,25,26,24,25,25,25,6,70,25,30,18,12,20,25,2,1,1,1,2,1,MountedAid|HasCanto|HorseIcon|IsPromoted,DRank,DRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,0x88af028,0x880bad3,0x880bf24,0x880c334,GroundAvoid,GroundDefence,GroundResistance,HorseType
Paladin (F),0x2c2,0x30e,0x8,0x6,0x5,0x0,0x81,0x21,23,6,6,11,7,6,9,8,60,23,27,25,24,26,25,6,70,25,35,25,12,25,25,1,1,1,2,1,2,MountedAid|HasCanto|HorseIcon|IsPromoted,DRank,DRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,0x88af038,0x880bad3,0x880bf24,0x880c334,GroundAvoid,GroundDefence,GroundResistance,HorseType
Knight (A),0x2c3,KnightDesc,0x9,0xb,KnightLanceStandID,0x1,0x76,0xc,28,9,4,2,11,3,14,5,60,20,20,15,25,15,20,4,95,55,35,20,60,20,40,0,0,0,0,0,0,0x0,ERank,ERank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,KnightAnims|IsPointer,0x880b88a,0x880bcdb,0x880c0eb,GroundAvoid,GroundDefence,GroundResistance,ArmourType
